chapter#,verse#,verse,chapter,cluster
2,15,الله يستهزئ بهم ويمدهم في طغيٰنهم يعمهون,سورة البقرة,8
2,16,اولٰئك الذين اشتروا الضلٰلة بالهدىٰ فما ربحت تجٰرتهم وما كانوا مهتدين,سورة البقرة,63
2,17,مثلهم كمثل الذي استوقد نارا فلما اضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمٰت لا يبصرون,سورة البقرة,43
2,18,صم بكم عمي فهم لا يرجعون,سورة البقرة,43
2,19,او كصيب من السماء فيه ظلمٰت ورعد وبرق يجعلون اصٰبعهم في ءاذانهم من الصوٰعق حذر الموت والله محيط بالكٰفرين,سورة البقرة,59
2,20,يكاد البرق يخطف ابصٰرهم كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وابصٰرهم ان الله علىٰ كل شيء قدير,سورة البقرة,19
2,21,يٰايها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون,سورة البقرة,50
2,22,الذي جعل لكم الارض فرٰشا والسماء بناء وانزل من السماء ماء فاخرج به من الثمرٰت رزقا لكم فلا تجعلوا لله اندادا وانتم تعلمون,سورة البقرة,14
2,23,وان كنتم في ريب مما نزلنا علىٰ عبدنا فاتوا بسورة من مثله وادعوا شهداءكم من دون الله ان كنتم صٰدقين,سورة البقرة,1
2,24,فان لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة اعدت للكٰفرين,سورة البقرة,7
2,25,وبشر الذين ءامنوا وعملوا الصٰلحٰت ان لهم جنٰت تجري من تحتها الانهٰر كلما رزقوا منها من ثمرة رزقا قالوا هٰذا الذي رزقنا من قبل واتوا به متشٰبها ولهم فيها ازوٰج مطهرة وهم فيها خٰلدون,سورة البقرة,2
2,26,ان الله لا يستحي ان يضرب مثلا ما بعوضة فما فوقها فاما الذين ءامنوا فيعلمون انه الحق من ربهم واما الذين كفروا فيقولون ماذا اراد الله بهٰذا مثلا يضل به كثيرا ويهدي به كثيرا وما يضل به الا الفٰسقين,سورة البقرة,41
2,27,الذين ينقضون عهد الله من بعد ميثٰقه ويقطعون ما امر الله به ان يوصل ويفسدون في الارض اولٰئك هم الخٰسرون,سورة البقرة,35
2,28,كيف تكفرون بالله وكنتم اموٰتا فاحيٰكم ثم يميتكم ثم يحييكم ثم اليه ترجعون,سورة البقرة,69
2,29,هو الذي خلق لكم ما في الارض جميعا ثم استوىٰ الى السماء فسوىٰهن سبع سمٰوٰت وهو بكل شيء عليم,سورة البقرة,5
2,30,واذ قال ربك للملٰئكة اني جاعل في الارض خليفة قالوا اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال اني اعلم ما لا تعلمون,سورة البقرة,12
2,31,وعلم ءادم الاسماء كلها ثم عرضهم على الملٰئكة فقال انبوني باسماء هٰؤلاء ان كنتم صٰدقين,سورة البقرة,1
2,32,قالوا سبحٰنك لا علم لنا الا ما علمتنا انك انت العليم الحكيم,سورة البقرة,31
2,33,قال يٰادم انبئهم باسمائهم فلما انباهم باسمائهم قال الم اقل لكم اني اعلم غيب السمٰوٰت والارض واعلم ما تبدون وما كنتم تكتمون,سورة البقرة,26
2,34,واذ قلنا للملٰئكة اسجدوا لادم فسجدوا الا ابليس ابىٰ واستكبر وكان من الكٰفرين,سورة البقرة,7
2,35,وقلنا يٰادم اسكن انت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هٰذه الشجرة فتكونا من الظٰلمين,سورة البقرة,64
2,36,فازلهما الشيطٰن عنها فاخرجهما مما كانا فيه وقلنا اهبطوا بعضكم لبعض عدو ولكم في الارض مستقر ومتٰع الىٰ حين,سورة البقرة,0
2,37,فتلقىٰ ءادم من ربه كلمٰت فتاب عليه انه هو التواب الرحيم,سورة البقرة,36
2,38,قلنا اهبطوا منها جميعا فاما ياتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون,سورة البقرة,44
2,39,والذين كفروا وكذبوا بايٰتنا اولٰئك اصحٰب النار هم فيها خٰلدون,سورة البقرة,63
2,40,يٰبني اسرٰءيل اذكروا نعمتي التي انعمت عليكم واوفوا بعهدي اوف بعهدكم وايٰي فارهبون,سورة البقرة,0
2,41,وءامنوا بما انزلت مصدقا لما معكم ولا تكونوا اول كافر به ولا تشتروا بايٰتي ثمنا قليلا وايٰي فاتقون,سورة البقرة,44
2,42,ولا تلبسوا الحق بالبٰطل وتكتموا الحق وانتم تعلمون,سورة البقرة,14
2,43,واقيموا الصلوٰة وءاتوا الزكوٰة واركعوا مع الرٰكعين,سورة البقرة,48
2,44,اتامرون الناس بالبر وتنسون انفسكم وانتم تتلون الكتٰب افلا تعقلون,سورة البقرة,14
2,45,واستعينوا بالصبر والصلوٰة وانها لكبيرة الا على الخٰشعين,سورة البقرة,35
2,46,الذين يظنون انهم ملٰقوا ربهم وانهم اليه رٰجعون,سورة البقرة,25
2,47,يٰبني اسرٰءيل اذكروا نعمتي التي انعمت عليكم واني فضلتكم على العٰلمين,سورة البقرة,16
2,48,واتقوا يوما لا تجزي نفس عن نفس شيا ولا يقبل منها شفٰعة ولا يؤخذ منها عدل ولا هم ينصرون,سورة البقرة,44
2,49,واذ نجينٰكم من ءال فرعون يسومونكم سوء العذاب يذبحون ابناءكم ويستحيون نساءكم وفي ذٰلكم بلاء من ربكم عظيم,سورة البقرة,42
2,50,واذ فرقنا بكم البحر فانجينٰكم واغرقنا ءال فرعون وانتم تنظرون,سورة البقرة,42
2,51,واذ وٰعدنا موسىٰ اربعين ليلة ثم اتخذتم العجل من بعده وانتم ظٰلمون,سورة البقرة,14
2,52,ثم عفونا عنكم من بعد ذٰلك لعلكم تشكرون,سورة البقرة,69
2,53,واذ ءاتينا موسى الكتٰب والفرقان لعلكم تهتدون,سورة البقرة,0
2,54,واذ قال موسىٰ لقومه يٰقوم انكم ظلمتم انفسكم باتخاذكم العجل فتوبوا الىٰ بارئكم فاقتلوا انفسكم ذٰلكم خير لكم عند بارئكم فتاب عليكم انه هو التواب الرحيم,سورة البقرة,17
2,55,واذ قلتم يٰموسىٰ لن نؤمن لك حتىٰ نرى الله جهرة فاخذتكم الصٰعقة وانتم تنظرون,سورة البقرة,14
2,56,ثم بعثنٰكم من بعد موتكم لعلكم تشكرون,سورة البقرة,69
2,57,وظللنا عليكم الغمام وانزلنا عليكم المن والسلوىٰ كلوا من طيبٰت ما رزقنٰكم وما ظلمونا ولٰكن كانوا انفسهم يظلمون,سورة البقرة,46
2,58,واذ قلنا ادخلوا هٰذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطٰيٰكم وسنزيد المحسنين,سورة البقرة,64
2,59,فبدل الذين ظلموا قولا غير الذي قيل لهم فانزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون,سورة البقرة,27
2,60,واذ استسقىٰ موسىٰ لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشرة عينا قد علم كل اناس مشربهم كلوا واشربوا من رزق الله ولا تعثوا في الارض مفسدين,سورة البقرة,8
2,61,واذ قلتم يٰموسىٰ لن نصبر علىٰ طعام وٰحد فادع لنا ربك يخرج لنا مما تنبت الارض من بقلها وقثائها وفومها وعدسها وبصلها قال اتستبدلون الذي هو ادنىٰ بالذي هو خير اهبطوا مصرا فان لكم ما سالتم وضربت عليهم الذلة والمسكنة وباءو بغضب من الله ذٰلك بانهم كانوا يكفرون بايٰت الله ويقتلون النبين بغير الحق ذٰلك بما عصوا وكانوا يعتدون,سورة البقرة,3
2,62,ان الذين ءامنوا والذين هادوا والنصٰرىٰ والصٰبين من ءامن بالله واليوم الاخر وعمل صٰلحا فلهم اجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون,سورة البقرة,44
2,63,واذ اخذنا ميثٰقكم ورفعنا فوقكم الطور خذوا ما ءاتينٰكم بقوة واذكروا ما فيه لعلكم تتقون,سورة البقرة,45
2,64,ثم توليتم من بعد ذٰلك فلولا فضل الله عليكم ورحمته لكنتم من الخٰسرين,سورة البقرة,69
2,65,ولقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قردة خٰسين,سورة البقرة,0
2,66,فجعلنٰها نكٰلا لما بين يديها وما خلفها وموعظة للمتقين,سورة البقرة,23
2,67,واذ قال موسىٰ لقومه ان الله يامركم ان تذبحوا بقرة قالوا اتتخذنا هزوا قال اعوذ بالله ان اكون من الجٰهلين,سورة البقرة,26
2,68,قالوا ادع لنا ربك يبين لنا ما هي قال انه يقول انها بقرة لا فارض ولا بكر عوان بين ذٰلك فافعلوا ما تؤمرون,سورة البقرة,4
2,69,قالوا ادع لنا ربك يبين لنا ما لونها قال انه يقول انها بقرة صفراء فاقع لونها تسر النٰظرين,سورة البقرة,4
2,70,قالوا ادع لنا ربك يبين لنا ما هي ان البقر تشٰبه علينا وانا ان شاء الله لمهتدون,سورة البقرة,19
2,71,قال انه يقول انها بقرة لا ذلول تثير الارض ولا تسقي الحرث مسلمة لا شية فيها قالوا الٰن جئت بالحق فذبحوها وما كادوا يفعلون,سورة البقرة,38
2,72,واذ قتلتم نفسا فادٰرٰتم فيها والله مخرج ما كنتم تكتمون,سورة البقرة,38
2,73,فقلنا اضربوه ببعضها كذٰلك يحي الله الموتىٰ ويريكم ءايٰته لعلكم تعقلون,سورة البقرة,21
2,74,ثم قست قلوبكم من بعد ذٰلك فهي كالحجارة او اشد قسوة وان من الحجارة لما يتفجر منه الانهٰر وان منها لما يشقق فيخرج منه الماء وان منها لما يهبط من خشية الله وما الله بغٰفل عما تعملون,سورة البقرة,64
2,75,افتطمعون ان يؤمنوا لكم وقد كان فريق منهم يسمعون كلٰم الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون,سورة البقرة,69
2,76,واذا لقوا الذين ءامنوا قالوا ءامنا واذا خلا بعضهم الىٰ بعض قالوا اتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم افلا تعقلون,سورة البقرة,54
2,77,اولا يعلمون ان الله يعلم ما يسرون وما يعلنون,سورة البقرة,29
2,78,ومنهم اميون لا يعلمون الكتٰب الا اماني وان هم الا يظنون,سورة البقرة,31
2,79,فويل للذين يكتبون الكتٰب بايديهم ثم يقولون هٰذا من عند الله ليشتروا به ثمنا قليلا فويل لهم مما كتبت ايديهم وويل لهم مما يكسبون,سورة البقرة,41
2,80,وقالوا لن تمسنا النار الا اياما معدودة قل اتخذتم عند الله عهدا فلن يخلف الله عهده ام تقولون على الله ما لا تعلمون,سورة البقرة,17
2,81,بلىٰ من كسب سيئة واحٰطت به خطيته فاولٰئك اصحٰب النار هم فيها خٰلدون,سورة البقرة,32
2,82,والذين ءامنوا وعملوا الصٰلحٰت اولٰئك اصحٰب الجنة هم فيها خٰلدون,سورة البقرة,2
2,83,واذ اخذنا ميثٰق بني اسرٰءيل لا تعبدون الا الله وبالوٰلدين احسانا وذي القربىٰ واليتٰمىٰ والمسٰكين وقولوا للناس حسنا واقيموا الصلوٰة وءاتوا الزكوٰة ثم توليتم الا قليلا منكم وانتم معرضون,سورة البقرة,31
2,84,واذ اخذنا ميثٰقكم لا تسفكون دماءكم ولا تخرجون انفسكم من ديٰركم ثم اقررتم وانتم تشهدون,سورة البقرة,14
2,85,ثم انتم هٰؤلاء تقتلون انفسكم وتخرجون فريقا منكم من ديٰرهم تظٰهرون عليهم بالاثم والعدوٰن وان ياتوكم اسٰرىٰ تفٰدوهم وهو محرم عليكم اخراجهم افتؤمنون ببعض الكتٰب وتكفرون ببعض فما جزاء من يفعل ذٰلك منكم الا خزي في الحيوٰة الدنيا ويوم القيٰمة يردون الىٰ اشد العذاب وما الله بغٰفل عما تعملون,سورة البقرة,40
2,86,اولٰئك الذين اشتروا الحيوٰة الدنيا بالاخرة فلا يخفف عنهم العذاب ولا هم ينصرون,سورة البقرة,63
2,87,ولقد ءاتينا موسى الكتٰب وقفينا من بعده بالرسل وءاتينا عيسى ابن مريم البينٰت وايدنٰه بروح القدس افكلما جاءكم رسول بما لا تهوىٰ انفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون,سورة البقرة,0
2,88,وقالوا قلوبنا غلف بل لعنهم الله بكفرهم فقليلا ما يؤمنون,سورة البقرة,9
2,89,ولما جاءهم كتٰب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون على الذين كفروا فلما جاءهم ما عرفوا كفروا به فلعنة الله على الكٰفرين,سورة البقرة,7
2,90,بئسما اشتروا به انفسهم ان يكفروا بما انزل الله بغيا ان ينزل الله من فضله علىٰ من يشاء من عباده فباءو بغضب علىٰ غضب وللكٰفرين عذاب مهين,سورة البقرة,53
2,91,واذا قيل لهم ءامنوا بما انزل الله قالوا نؤمن بما انزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم قل فلم تقتلون انبياء الله من قبل ان كنتم مؤمنين,سورة البقرة,27
2,92,ولقد جاءكم موسىٰ بالبينٰت ثم اتخذتم العجل من بعده وانتم ظٰلمون,سورة البقرة,14
2,93,واذ اخذنا ميثٰقكم ورفعنا فوقكم الطور خذوا ما ءاتينٰكم بقوة واسمعوا قالوا سمعنا وعصينا واشربوا في قلوبهم العجل بكفرهم قل بئسما يامركم به ايمٰنكم ان كنتم مؤمنين,سورة البقرة,35
2,94,قل ان كانت لكم الدار الاخرة عند الله خالصة من دون الناس فتمنوا الموت ان كنتم صٰدقين,سورة البقرة,1
2,95,ولن يتمنوه ابدا بما قدمت ايديهم والله عليم بالظٰلمين,سورة البقرة,5
2,96,ولتجدنهم احرص الناس علىٰ حيوٰة ومن الذين اشركوا يود احدهم لو يعمر الف سنة وما هو بمزحزحه من العذاب ان يعمر والله بصير بما يعملون,سورة البقرة,27
2,97,قل من كان عدوا لجبريل فانه نزله علىٰ قلبك باذن الله مصدقا لما بين يديه وهدى وبشرىٰ للمؤمنين,سورة البقرة,59
2,98,من كان عدوا لله وملٰئكته ورسله وجبريل وميكىٰل فان الله عدو للكٰفرين,سورة البقرة,7
2,99,ولقد انزلنا اليك ءايٰت بينٰت وما يكفر بها الا الفٰسقون,سورة البقرة,31
2,100,اوكلما عٰهدوا عهدا نبذه فريق منهم بل اكثرهم لا يؤمنون,سورة البقرة,43
2,101,ولما جاءهم رسول من عند الله مصدق لما معهم نبذ فريق من الذين اوتوا الكتٰب كتٰب الله وراء ظهورهم كانهم لا يعلمون,سورة البقرة,43
2,102,واتبعوا ما تتلوا الشيٰطين علىٰ ملك سليمٰن وما كفر سليمٰن ولٰكن الشيٰطين كفروا يعلمون الناس السحر وما انزل على الملكين ببابل هٰروت ومٰروت وما يعلمان من احد حتىٰ يقولا انما نحن فتنة فلا تكفر فيتعلمون منهما ما يفرقون به بين المرء وزوجه وما هم بضارين به من احد الا باذن الله ويتعلمون ما يضرهم ولا ينفعهم ولقد علموا لمن اشترىٰه ما له في الاخرة من خلٰق ولبئس ما شروا به انفسهم لو كانوا يعلمون,سورة البقرة,29
2,103,ولو انهم ءامنوا واتقوا لمثوبة من عند الله خير لو كانوا يعلمون,سورة البقرة,25
2,104,يٰايها الذين ءامنوا لا تقولوا رٰعنا وقولوا انظرنا واسمعوا وللكٰفرين عذاب اليم,سورة البقرة,62
2,105,ما يود الذين كفروا من اهل الكتٰب ولا المشركين ان ينزل عليكم من خير من ربكم والله يختص برحمته من يشاء والله ذو الفضل العظيم,سورة البقرة,59
2,106,ما ننسخ من ءاية او ننسها نات بخير منها او مثلها الم تعلم ان الله علىٰ كل شيء قدير,سورة البقرة,30
2,107,الم تعلم ان الله له ملك السمٰوٰت والارض وما لكم من دون الله من ولي ولا نصير,سورة البقرة,66
2,108,ام تريدون ان تسلوا رسولكم كما سئل موسىٰ من قبل ومن يتبدل الكفر بالايمٰن فقد ضل سواء السبيل,سورة البقرة,60
2,109,ود كثير من اهل الكتٰب لو يردونكم من بعد ايمٰنكم كفارا حسدا من عند انفسهم من بعد ما تبين لهم الحق فاعفوا واصفحوا حتىٰ ياتي الله بامره ان الله علىٰ كل شيء قدير,سورة البقرة,59
2,110,واقيموا الصلوٰة وءاتوا الزكوٰة وما تقدموا لانفسكم من خير تجدوه عند الله ان الله بما تعملون بصير,سورة البقرة,17
2,111,وقالوا لن يدخل الجنة الا من كان هودا او نصٰرىٰ تلك امانيهم قل هاتوا برهٰنكم ان كنتم صٰدقين,سورة البقرة,1
2,112,بلىٰ من اسلم وجهه لله وهو محسن فله اجره عند ربه ولا خوف عليهم ولا هم يحزنون,سورة البقرة,44
2,113,وقالت اليهود ليست النصٰرىٰ علىٰ شيء وقالت النصٰرىٰ ليست اليهود علىٰ شيء وهم يتلون الكتٰب كذٰلك قال الذين لا يعلمون مثل قولهم فالله يحكم بينهم يوم القيٰمة فيما كانوا فيه يختلفون,سورة البقرة,40
2,114,ومن اظلم ممن منع مسٰجد الله ان يذكر فيها اسمه وسعىٰ في خرابها اولٰئك ما كان لهم ان يدخلوها الا خائفين لهم في الدنيا خزي ولهم في الاخرة عذاب عظيم,سورة البقرة,8
2,115,ولله المشرق والمغرب فاينما تولوا فثم وجه الله ان الله وٰسع عليم,سورة البقرة,3
2,116,وقالوا اتخذ الله ولدا سبحٰنه بل له ما في السمٰوٰت والارض كل له قٰنتون,سورة البقرة,66
2,117,بديع السمٰوٰت والارض واذا قضىٰ امرا فانما يقول له كن فيكون,سورة البقرة,66
2,118,وقال الذين لا يعلمون لولا يكلمنا الله او تاتينا ءاية كذٰلك قال الذين من قبلهم مثل قولهم تشٰبهت قلوبهم قد بينا الايٰت لقوم يوقنون,سورة البقرة,43
2,119,انا ارسلنٰك بالحق بشيرا ونذيرا ولا تسل عن اصحٰب الجحيم,سورة البقرة,52
2,120,ولن ترضىٰ عنك اليهود ولا النصٰرىٰ حتىٰ تتبع ملتهم قل ان هدى الله هو الهدىٰ ولئن اتبعت اهواءهم بعد الذي جاءك من العلم ما لك من الله من ولي ولا نصير,سورة البقرة,44
2,121,الذين ءاتينٰهم الكتٰب يتلونه حق تلاوته اولٰئك يؤمنون به ومن يكفر به فاولٰئك هم الخٰسرون,سورة البقرة,35
2,122,يٰبني اسرٰءيل اذكروا نعمتي التي انعمت عليكم واني فضلتكم على العٰلمين,سورة البقرة,16
2,123,واتقوا يوما لا تجزي نفس عن نفس شيا ولا يقبل منها عدل ولا تنفعها شفٰعة ولا هم ينصرون,سورة البقرة,44
2,124,واذ ابتلىٰ ابرٰهم ربه بكلمٰت فاتمهن قال اني جاعلك للناس اماما قال ومن ذريتي قال لا ينال عهدي الظٰلمين,سورة البقرة,26
2,125,واذ جعلنا البيت مثابة للناس وامنا واتخذوا من مقام ابرٰهم مصلى وعهدنا الىٰ ابرٰهم واسمٰعيل ان طهرا بيتي للطائفين والعٰكفين والركع السجود,سورة البقرة,58
2,126,واذ قال ابرٰهم رب اجعل هٰذا بلدا ءامنا وارزق اهله من الثمرٰت من ءامن منهم بالله واليوم الاخر قال ومن كفر فامتعه قليلا ثم اضطره الىٰ عذاب النار وبئس المصير,سورة البقرة,26
2,127,واذ يرفع ابرٰهم القواعد من البيت واسمٰعيل ربنا تقبل منا انك انت السميع العليم,سورة البقرة,0
2,128,ربنا واجعلنا مسلمين لك ومن ذريتنا امة مسلمة لك وارنا مناسكنا وتب علينا انك انت التواب الرحيم,سورة البقرة,21
2,129,ربنا وابعث فيهم رسولا منهم يتلوا عليهم ءايٰتك ويعلمهم الكتٰب والحكمة ويزكيهم انك انت العزيز الحكيم,سورة البقرة,61
2,130,ومن يرغب عن ملة ابرٰهم الا من سفه نفسه ولقد اصطفينٰه في الدنيا وانه في الاخرة لمن الصٰلحين,سورة البقرة,8
2,131,اذ قال له ربه اسلم قال اسلمت لرب العٰلمين,سورة البقرة,26
2,132,ووصىٰ بها ابرٰهم بنيه ويعقوب يٰبني ان الله اصطفىٰ لكم الدين فلا تموتن الا وانتم مسلمون,سورة البقرة,14
2,133,ام كنتم شهداء اذ حضر يعقوب الموت اذ قال لبنيه ما تعبدون من بعدي قالوا نعبد الٰهك والٰه ءابائك ابرٰهم واسمٰعيل واسحٰق الٰها وٰحدا ونحن له مسلمون,سورة البقرة,26
2,134,تلك امة قد خلت لها ما كسبت ولكم ما كسبتم ولا تسلون عما كانوا يعملون,سورة البقرة,39
2,135,وقالوا كونوا هودا او نصٰرىٰ تهتدوا قل بل ملة ابرٰهم حنيفا وما كان من المشركين,سورة البقرة,68
2,136,قولوا ءامنا بالله وما انزل الينا وما انزل الىٰ ابرٰهم واسمٰعيل واسحٰق ويعقوب والاسباط وما اوتي موسىٰ وعيسىٰ وما اوتي النبيون من ربهم لا نفرق بين احد منهم ونحن له مسلمون,سورة البقرة,29
2,137,فان ءامنوا بمثل ما ءامنتم به فقد اهتدوا وان تولوا فانما هم في شقاق فسيكفيكهم الله وهو السميع العليم,سورة البقرة,49
2,138,صبغة الله ومن احسن من الله صبغة ونحن له عٰبدون,سورة البقرة,3
2,139,قل اتحاجوننا في الله وهو ربنا وربكم ولنا اعمٰلنا ولكم اعمٰلكم ونحن له مخلصون,سورة البقرة,49
2,140,ام تقولون ان ابرٰهم واسمٰعيل واسحٰق ويعقوب والاسباط كانوا هودا او نصٰرىٰ قل ءانتم اعلم ام الله ومن اظلم ممن كتم شهٰدة عنده من الله وما الله بغٰفل عما تعملون,سورة البقرة,60
2,141,تلك امة قد خلت لها ما كسبت ولكم ما كسبتم ولا تسلون عما كانوا يعملون,سورة البقرة,39
2,142,سيقول السفهاء من الناس ما ولىٰهم عن قبلتهم التي كانوا عليها قل لله المشرق والمغرب يهدي من يشاء الىٰ صرٰط مستقيم,سورة البقرة,59
2,143,وكذٰلك جعلنٰكم امة وسطا لتكونوا شهداء على الناس ويكون الرسول عليكم شهيدا وما جعلنا القبلة التي كنت عليها الا لنعلم من يتبع الرسول ممن ينقلب علىٰ عقبيه وان كانت لكبيرة الا على الذين هدى الله وما كان الله ليضيع ايمٰنكم ان الله بالناس لرءوف رحيم,سورة البقرة,53
2,144,قد نرىٰ تقلب وجهك في السماء فلنولينك قبلة ترضىٰها فول وجهك شطر المسجد الحرام وحيث ما كنتم فولوا وجوهكم شطره وان الذين اوتوا الكتٰب ليعلمون انه الحق من ربهم وما الله بغٰفل عما يعملون,سورة البقرة,29
2,145,ولئن اتيت الذين اوتوا الكتٰب بكل ءاية ما تبعوا قبلتك وما انت بتابع قبلتهم وما بعضهم بتابع قبلة بعض ولئن اتبعت اهواءهم من بعد ما جاءك من العلم انك اذا لمن الظٰلمين,سورة البقرة,29
2,146,الذين ءاتينٰهم الكتٰب يعرفونه كما يعرفون ابناءهم وان فريقا منهم ليكتمون الحق وهم يعلمون,سورة البقرة,43
2,147,الحق من ربك فلا تكونن من الممترين,سورة البقرة,14
2,148,ولكل وجهة هو موليها فاستبقوا الخيرٰت اين ما تكونوا يات بكم الله جميعا ان الله علىٰ كل شيء قدير,سورة البقرة,53
2,149,ومن حيث خرجت فول وجهك شطر المسجد الحرام وانه للحق من ربك وما الله بغٰفل عما تعملون,سورة البقرة,65
2,150,ومن حيث خرجت فول وجهك شطر المسجد الحرام وحيث ما كنتم فولوا وجوهكم شطره لئلا يكون للناس عليكم حجة الا الذين ظلموا منهم فلا تخشوهم واخشوني ولاتم نعمتي عليكم ولعلكم تهتدون,سورة البقرة,0
2,151,كما ارسلنا فيكم رسولا منكم يتلوا عليكم ءايٰتنا ويزكيكم ويعلمكم الكتٰب والحكمة ويعلمكم ما لم تكونوا تعلمون,سورة البقرة,28
2,152,فاذكروني اذكركم واشكروا لي ولا تكفرون,سورة البقرة,44
2,153,يٰايها الذين ءامنوا استعينوا بالصبر والصلوٰة ان الله مع الصٰبرين,سورة البقرة,62
2,154,ولا تقولوا لمن يقتل في سبيل الله اموٰت بل احياء ولٰكن لا تشعرون,سورة البقرة,46
2,155,ولنبلونكم بشيء من الخوف والجوع ونقص من الاموٰل والانفس والثمرٰت وبشر الصٰبرين,سورة البقرة,59
2,156,الذين اذا اصٰبتهم مصيبة قالوا انا لله وانا اليه رٰجعون,سورة البقرة,37
2,157,اولٰئك عليهم صلوٰت من ربهم ورحمة واولٰئك هم المهتدون,سورة البقرة,63
2,158,ان الصفا والمروة من شعائر الله فمن حج البيت او اعتمر فلا جناح عليه ان يطوف بهما ومن تطوع خيرا فان الله شاكر عليم,سورة البقرة,3
2,159,ان الذين يكتمون ما انزلنا من البينٰت والهدىٰ من بعد ما بينٰه للناس في الكتٰب اولٰئك يلعنهم الله ويلعنهم اللٰعنون,سورة البقرة,35
2,160,الا الذين تابوا واصلحوا وبينوا فاولٰئك اتوب عليهم وانا التواب الرحيم,سورة البقرة,32
2,161,ان الذين كفروا وماتوا وهم كفار اولٰئك عليهم لعنة الله والملٰئكة والناس اجمعين,سورة البقرة,63
2,162,خٰلدين فيها لا يخفف عنهم العذاب ولا هم ينظرون,سورة البقرة,38
2,163,والٰهكم الٰه وٰحد لا الٰه الا هو الرحمٰن الرحيم,سورة البقرة,31
2,164,ان في خلق السمٰوٰت والارض واختلٰف اليل والنهار والفلك التي تجري في البحر بما ينفع الناس وما انزل الله من السماء من ماء فاحيا به الارض بعد موتها وبث فيها من كل دابة وتصريف الريٰح والسحاب المسخر بين السماء والارض لايٰت لقوم يعقلون,سورة البقرة,66
2,165,ومن الناس من يتخذ من دون الله اندادا يحبونهم كحب الله والذين ءامنوا اشد حبا لله ولو يرى الذين ظلموا اذ يرون العذاب ان القوة لله جميعا وان الله شديد العذاب,سورة البقرة,18
2,166,اذ تبرا الذين اتبعوا من الذين اتبعوا وراوا العذاب وتقطعت بهم الاسباب,سورة البقرة,43
