chapter#,verse#,chapter,verse
2,54,سورة البقرة,واذ قال موسىٰ لقومه يٰقوم انكم ظلمتم انفسكم باتخاذكم العجل فتوبوا الىٰ بارئكم فاقتلوا انفسكم ذٰلكم خير لكم عند بارئكم فتاب عليكم انه هو التواب الرحيم
2,55,سورة البقرة,واذ قلتم يٰموسىٰ لن نؤمن لك حتىٰ نرى الله جهرة فاخذتكم الصٰعقة وانتم تنظرون
2,56,سورة البقرة,ثم بعثنٰكم من بعد موتكم لعلكم تشكرون
2,57,سورة البقرة,وظللنا عليكم الغمام وانزلنا عليكم المن والسلوىٰ كلوا من طيبٰت ما رزقنٰكم وما ظلمونا ولٰكن كانوا انفسهم يظلمون
2,58,سورة البقرة,واذ قلنا ادخلوا هٰذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطٰيٰكم وسنزيد المحسنين
2,59,سورة البقرة,فبدل الذين ظلموا قولا غير الذي قيل لهم فانزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون
2,60,سورة البقرة,واذ استسقىٰ موسىٰ لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشرة عينا قد علم كل اناس مشربهم كلوا واشربوا من رزق الله ولا تعثوا في الارض مفسدين
2,61,سورة البقرة,واذ قلتم يٰموسىٰ لن نصبر علىٰ طعام وٰحد فادع لنا ربك يخرج لنا مما تنبت الارض من بقلها وقثائها وفومها وعدسها وبصلها قال اتستبدلون الذي هو ادنىٰ بالذي هو خير اهبطوا مصرا فان لكم ما سالتم وضربت عليهم الذلة والمسكنة وباءو بغضب من الله ذٰلك بانهم كانوا يكفرون بايٰت الله ويقتلون النبين بغير الحق ذٰلك بما عصوا وكانوا يعتدون
2,62,سورة البقرة,ان الذين ءامنوا والذين هادوا والنصٰرىٰ والصٰبين من ءامن بالله واليوم الاخر وعمل صٰلحا فلهم اجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون
2,63,سورة البقرة,واذ اخذنا ميثٰقكم ورفعنا فوقكم الطور خذوا ما ءاتينٰكم بقوة واذكروا ما فيه لعلكم تتقون
2,64,سورة البقرة,ثم توليتم من بعد ذٰلك فلولا فضل الله عليكم ورحمته لكنتم من الخٰسرين
2,65,سورة البقرة,ولقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قردة خٰسين
2,66,سورة البقرة,فجعلنٰها نكٰلا لما بين يديها وما خلفها وموعظة للمتقين
2,67,سورة البقرة,واذ قال موسىٰ لقومه ان الله يامركم ان تذبحوا بقرة قالوا اتتخذنا هزوا قال اعوذ بالله ان اكون من الجٰهلين
2,68,سورة البقرة,قالوا ادع لنا ربك يبين لنا ما هي قال انه يقول انها بقرة لا فارض ولا بكر عوان بين ذٰلك فافعلوا ما تؤمرون
2,69,سورة البقرة,قالوا ادع لنا ربك يبين لنا ما لونها قال انه يقول انها بقرة صفراء فاقع لونها تسر النٰظرين
2,70,سورة البقرة,قالوا ادع لنا ربك يبين لنا ما هي ان البقر تشٰبه علينا وانا ان شاء الله لمهتدون
2,71,سورة البقرة,قال انه يقول انها بقرة لا ذلول تثير الارض ولا تسقي الحرث مسلمة لا شية فيها قالوا الٰن جئت بالحق فذبحوها وما كادوا يفعلون
2,72,سورة البقرة,واذ قتلتم نفسا فادٰرٰتم فيها والله مخرج ما كنتم تكتمون
2,73,سورة البقرة,فقلنا اضربوه ببعضها كذٰلك يحي الله الموتىٰ ويريكم ءايٰته لعلكم تعقلون
2,74,سورة البقرة,ثم قست قلوبكم من بعد ذٰلك فهي كالحجارة او اشد قسوة وان من الحجارة لما يتفجر منه الانهٰر وان منها لما يشقق فيخرج منه الماء وان منها لما يهبط من خشية الله وما الله بغٰفل عما تعملون
2,75,سورة البقرة,افتطمعون ان يؤمنوا لكم وقد كان فريق منهم يسمعون كلٰم الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون
2,76,سورة البقرة,واذا لقوا الذين ءامنوا قالوا ءامنا واذا خلا بعضهم الىٰ بعض قالوا اتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم افلا تعقلون
2,77,سورة البقرة,اولا يعلمون ان الله يعلم ما يسرون وما يعلنون
2,78,سورة البقرة,ومنهم اميون لا يعلمون الكتٰب الا اماني وان هم الا يظنون
2,79,سورة البقرة,فويل للذين يكتبون الكتٰب بايديهم ثم يقولون هٰذا من عند الله ليشتروا به ثمنا قليلا فويل لهم مما كتبت ايديهم وويل لهم مما يكسبون
2,80,سورة البقرة,وقالوا لن تمسنا النار الا اياما معدودة قل اتخذتم عند الله عهدا فلن يخلف الله عهده ام تقولون على الله ما لا تعلمون
2,81,سورة البقرة,بلىٰ من كسب سيئة واحٰطت به خطيته فاولٰئك اصحٰب النار هم فيها خٰلدون
2,82,سورة البقرة,والذين ءامنوا وعملوا الصٰلحٰت اولٰئك اصحٰب الجنة هم فيها خٰلدون
2,83,سورة البقرة,واذ اخذنا ميثٰق بني اسرٰءيل لا تعبدون الا الله وبالوٰلدين احسانا وذي القربىٰ واليتٰمىٰ والمسٰكين وقولوا للناس حسنا واقيموا الصلوٰة وءاتوا الزكوٰة ثم توليتم الا قليلا منكم وانتم معرضون
2,84,سورة البقرة,واذ اخذنا ميثٰقكم لا تسفكون دماءكم ولا تخرجون انفسكم من ديٰركم ثم اقررتم وانتم تشهدون
2,85,سورة البقرة,ثم انتم هٰؤلاء تقتلون انفسكم وتخرجون فريقا منكم من ديٰرهم تظٰهرون عليهم بالاثم والعدوٰن وان ياتوكم اسٰرىٰ تفٰدوهم وهو محرم عليكم اخراجهم افتؤمنون ببعض الكتٰب وتكفرون ببعض فما جزاء من يفعل ذٰلك منكم الا خزي في الحيوٰة الدنيا ويوم القيٰمة يردون الىٰ اشد العذاب وما الله بغٰفل عما تعملون
2,86,سورة البقرة,اولٰئك الذين اشتروا الحيوٰة الدنيا بالاخرة فلا يخفف عنهم العذاب ولا هم ينصرون
2,87,سورة البقرة,ولقد ءاتينا موسى الكتٰب وقفينا من بعده بالرسل وءاتينا عيسى ابن مريم البينٰت وايدنٰه بروح القدس افكلما جاءكم رسول بما لا تهوىٰ انفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون
2,88,سورة البقرة,وقالوا قلوبنا غلف بل لعنهم الله بكفرهم فقليلا ما يؤمنون
2,89,سورة البقرة,ولما جاءهم كتٰب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون على الذين كفروا فلما جاءهم ما عرفوا كفروا به فلعنة الله على الكٰفرين
2,90,سورة البقرة,بئسما اشتروا به انفسهم ان يكفروا بما انزل الله بغيا ان ينزل الله من فضله علىٰ من يشاء من عباده فباءو بغضب علىٰ غضب وللكٰفرين عذاب مهين
2,91,سورة البقرة,واذا قيل لهم ءامنوا بما انزل الله قالوا نؤمن بما انزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم قل فلم تقتلون انبياء الله من قبل ان كنتم مؤمنين
2,92,سورة البقرة,ولقد جاءكم موسىٰ بالبينٰت ثم اتخذتم العجل من بعده وانتم ظٰلمون
2,93,سورة البقرة,واذ اخذنا ميثٰقكم ورفعنا فوقكم الطور خذوا ما ءاتينٰكم بقوة واسمعوا قالوا سمعنا وعصينا واشربوا في قلوبهم العجل بكفرهم قل بئسما يامركم به ايمٰنكم ان كنتم مؤمنين
2,94,سورة البقرة,قل ان كانت لكم الدار الاخرة عند الله خالصة من دون الناس فتمنوا الموت ان كنتم صٰدقين
2,95,سورة البقرة,ولن يتمنوه ابدا بما قدمت ايديهم والله عليم بالظٰلمين
2,96,سورة البقرة,ولتجدنهم احرص الناس علىٰ حيوٰة ومن الذين اشركوا يود احدهم لو يعمر الف سنة وما هو بمزحزحه من العذاب ان يعمر والله بصير بما يعملون
2,97,سورة البقرة,قل من كان عدوا لجبريل فانه نزله علىٰ قلبك باذن الله مصدقا لما بين يديه وهدى وبشرىٰ للمؤمنين
2,98,سورة البقرة,من كان عدوا لله وملٰئكته ورسله وجبريل وميكىٰل فان الله عدو للكٰفرين
2,99,سورة البقرة,ولقد انزلنا اليك ءايٰت بينٰت وما يكفر بها الا الفٰسقون
2,100,سورة البقرة,اوكلما عٰهدوا عهدا نبذه فريق منهم بل اكثرهم لا يؤمنون
2,101,سورة البقرة,ولما جاءهم رسول من عند الله مصدق لما معهم نبذ فريق من الذين اوتوا الكتٰب كتٰب الله وراء ظهورهم كانهم لا يعلمون
2,102,سورة البقرة,واتبعوا ما تتلوا الشيٰطين علىٰ ملك سليمٰن وما كفر سليمٰن ولٰكن الشيٰطين كفروا يعلمون الناس السحر وما انزل على الملكين ببابل هٰروت ومٰروت وما يعلمان من احد حتىٰ يقولا انما نحن فتنة فلا تكفر فيتعلمون منهما ما يفرقون به بين المرء وزوجه وما هم بضارين به من احد الا باذن الله ويتعلمون ما يضرهم ولا ينفعهم ولقد علموا لمن اشترىٰه ما له في الاخرة من خلٰق ولبئس ما شروا به انفسهم لو كانوا يعلمون
2,103,سورة البقرة,ولو انهم ءامنوا واتقوا لمثوبة من عند الله خير لو كانوا يعلمون
2,104,سورة البقرة,يٰايها الذين ءامنوا لا تقولوا رٰعنا وقولوا انظرنا واسمعوا وللكٰفرين عذاب اليم
2,105,سورة البقرة,ما يود الذين كفروا من اهل الكتٰب ولا المشركين ان ينزل عليكم من خير من ربكم والله يختص برحمته من يشاء والله ذو الفضل العظيم
2,106,سورة البقرة,ما ننسخ من ءاية او ننسها نات بخير منها او مثلها الم تعلم ان الله علىٰ كل شيء قدير
2,107,سورة البقرة,الم تعلم ان الله له ملك السمٰوٰت والارض وما لكم من دون الله من ولي ولا نصير
2,108,سورة البقرة,ام تريدون ان تسلوا رسولكم كما سئل موسىٰ من قبل ومن يتبدل الكفر بالايمٰن فقد ضل سواء السبيل
2,109,سورة البقرة,ود كثير من اهل الكتٰب لو يردونكم من بعد ايمٰنكم كفارا حسدا من عند انفسهم من بعد ما تبين لهم الحق فاعفوا واصفحوا حتىٰ ياتي الله بامره ان الله علىٰ كل شيء قدير
2,110,سورة البقرة,واقيموا الصلوٰة وءاتوا الزكوٰة وما تقدموا لانفسكم من خير تجدوه عند الله ان الله بما تعملون بصير
2,111,سورة البقرة,وقالوا لن يدخل الجنة الا من كان هودا او نصٰرىٰ تلك امانيهم قل هاتوا برهٰنكم ان كنتم صٰدقين
2,112,سورة البقرة,بلىٰ من اسلم وجهه لله وهو محسن فله اجره عند ربه ولا خوف عليهم ولا هم يحزنون
2,113,سورة البقرة,وقالت اليهود ليست النصٰرىٰ علىٰ شيء وقالت النصٰرىٰ ليست اليهود علىٰ شيء وهم يتلون الكتٰب كذٰلك قال الذين لا يعلمون مثل قولهم فالله يحكم بينهم يوم القيٰمة فيما كانوا فيه يختلفون
2,114,سورة البقرة,ومن اظلم ممن منع مسٰجد الله ان يذكر فيها اسمه وسعىٰ في خرابها اولٰئك ما كان لهم ان يدخلوها الا خائفين لهم في الدنيا خزي ولهم في الاخرة عذاب عظيم
2,115,سورة البقرة,ولله المشرق والمغرب فاينما تولوا فثم وجه الله ان الله وٰسع عليم
2,116,سورة البقرة,وقالوا اتخذ الله ولدا سبحٰنه بل له ما في السمٰوٰت والارض كل له قٰنتون
2,117,سورة البقرة,بديع السمٰوٰت والارض واذا قضىٰ امرا فانما يقول له كن فيكون
2,118,سورة البقرة,وقال الذين لا يعلمون لولا يكلمنا الله او تاتينا ءاية كذٰلك قال الذين من قبلهم مثل قولهم تشٰبهت قلوبهم قد بينا الايٰت لقوم يوقنون
2,119,سورة البقرة,انا ارسلنٰك بالحق بشيرا ونذيرا ولا تسل عن اصحٰب الجحيم
2,120,سورة البقرة,ولن ترضىٰ عنك اليهود ولا النصٰرىٰ حتىٰ تتبع ملتهم قل ان هدى الله هو الهدىٰ ولئن اتبعت اهواءهم بعد الذي جاءك من العلم ما لك من الله من ولي ولا نصير
2,121,سورة البقرة,الذين ءاتينٰهم الكتٰب يتلونه حق تلاوته اولٰئك يؤمنون به ومن يكفر به فاولٰئك هم الخٰسرون
2,122,سورة البقرة,يٰبني اسرٰءيل اذكروا نعمتي التي انعمت عليكم واني فضلتكم على العٰلمين
2,123,سورة البقرة,واتقوا يوما لا تجزي نفس عن نفس شيا ولا يقبل منها عدل ولا تنفعها شفٰعة ولا هم ينصرون
2,124,سورة البقرة,واذ ابتلىٰ ابرٰهم ربه بكلمٰت فاتمهن قال اني جاعلك للناس اماما قال ومن ذريتي قال لا ينال عهدي الظٰلمين
2,125,سورة البقرة,واذ جعلنا البيت مثابة للناس وامنا واتخذوا من مقام ابرٰهم مصلى وعهدنا الىٰ ابرٰهم واسمٰعيل ان طهرا بيتي للطائفين والعٰكفين والركع السجود
2,126,سورة البقرة,واذ قال ابرٰهم رب اجعل هٰذا بلدا ءامنا وارزق اهله من الثمرٰت من ءامن منهم بالله واليوم الاخر قال ومن كفر فامتعه قليلا ثم اضطره الىٰ عذاب النار وبئس المصير
2,127,سورة البقرة,واذ يرفع ابرٰهم القواعد من البيت واسمٰعيل ربنا تقبل منا انك انت السميع العليم
2,128,سورة البقرة,ربنا واجعلنا مسلمين لك ومن ذريتنا امة مسلمة لك وارنا مناسكنا وتب علينا انك انت التواب الرحيم
2,129,سورة البقرة,ربنا وابعث فيهم رسولا منهم يتلوا عليهم ءايٰتك ويعلمهم الكتٰب والحكمة ويزكيهم انك انت العزيز الحكيم
2,130,سورة البقرة,ومن يرغب عن ملة ابرٰهم الا من سفه نفسه ولقد اصطفينٰه في الدنيا وانه في الاخرة لمن الصٰلحين
2,131,سورة البقرة,اذ قال له ربه اسلم قال اسلمت لرب العٰلمين
2,132,سورة البقرة,ووصىٰ بها ابرٰهم بنيه ويعقوب يٰبني ان الله اصطفىٰ لكم الدين فلا تموتن الا وانتم مسلمون
2,133,سورة البقرة,ام كنتم شهداء اذ حضر يعقوب الموت اذ قال لبنيه ما تعبدون من بعدي قالوا نعبد الٰهك والٰه ءابائك ابرٰهم واسمٰعيل واسحٰق الٰها وٰحدا ونحن له مسلمون
2,134,سورة البقرة,تلك امة قد خلت لها ما كسبت ولكم ما كسبتم ولا تسلون عما كانوا يعملون
2,135,سورة البقرة,وقالوا كونوا هودا او نصٰرىٰ تهتدوا قل بل ملة ابرٰهم حنيفا وما كان من المشركين
2,136,سورة البقرة,قولوا ءامنا بالله وما انزل الينا وما انزل الىٰ ابرٰهم واسمٰعيل واسحٰق ويعقوب والاسباط وما اوتي موسىٰ وعيسىٰ وما اوتي النبيون من ربهم لا نفرق بين احد منهم ونحن له مسلمون
2,137,سورة البقرة,فان ءامنوا بمثل ما ءامنتم به فقد اهتدوا وان تولوا فانما هم في شقاق فسيكفيكهم الله وهو السميع العليم
2,138,سورة البقرة,صبغة الله ومن احسن من الله صبغة ونحن له عٰبدون
2,139,سورة البقرة,قل اتحاجوننا في الله وهو ربنا وربكم ولنا اعمٰلنا ولكم اعمٰلكم ونحن له مخلصون
2,140,سورة البقرة,ام تقولون ان ابرٰهم واسمٰعيل واسحٰق ويعقوب والاسباط كانوا هودا او نصٰرىٰ قل ءانتم اعلم ام الله ومن اظلم ممن كتم شهٰدة عنده من الله وما الله بغٰفل عما تعملون
2,141,سورة البقرة,تلك امة قد خلت لها ما كسبت ولكم ما كسبتم ولا تسلون عما كانوا يعملون
2,142,سورة البقرة,سيقول السفهاء من الناس ما ولىٰهم عن قبلتهم التي كانوا عليها قل لله المشرق والمغرب يهدي من يشاء الىٰ صرٰط مستقيم
2,143,سورة البقرة,وكذٰلك جعلنٰكم امة وسطا لتكونوا شهداء على الناس ويكون الرسول عليكم شهيدا وما جعلنا القبلة التي كنت عليها الا لنعلم من يتبع الرسول ممن ينقلب علىٰ عقبيه وان كانت لكبيرة الا على الذين هدى الله وما كان الله ليضيع ايمٰنكم ان الله بالناس لرءوف رحيم
2,144,سورة البقرة,قد نرىٰ تقلب وجهك في السماء فلنولينك قبلة ترضىٰها فول وجهك شطر المسجد الحرام وحيث ما كنتم فولوا وجوهكم شطره وان الذين اوتوا الكتٰب ليعلمون انه الحق من ربهم وما الله بغٰفل عما يعملون
2,145,سورة البقرة,ولئن اتيت الذين اوتوا الكتٰب بكل ءاية ما تبعوا قبلتك وما انت بتابع قبلتهم وما بعضهم بتابع قبلة بعض ولئن اتبعت اهواءهم من بعد ما جاءك من العلم انك اذا لمن الظٰلمين
2,146,سورة البقرة,الذين ءاتينٰهم الكتٰب يعرفونه كما يعرفون ابناءهم وان فريقا منهم ليكتمون الحق وهم يعلمون
2,147,سورة البقرة,الحق من ربك فلا تكونن من الممترين
2,148,سورة البقرة,ولكل وجهة هو موليها فاستبقوا الخيرٰت اين ما تكونوا يات بكم الله جميعا ان الله علىٰ كل شيء قدير
2,149,سورة البقرة,ومن حيث خرجت فول وجهك شطر المسجد الحرام وانه للحق من ربك وما الله بغٰفل عما تعملون
2,150,سورة البقرة,ومن حيث خرجت فول وجهك شطر المسجد الحرام وحيث ما كنتم فولوا وجوهكم شطره لئلا يكون للناس عليكم حجة الا الذين ظلموا منهم فلا تخشوهم واخشوني ولاتم نعمتي عليكم ولعلكم تهتدون
2,151,سورة البقرة,كما ارسلنا فيكم رسولا منكم يتلوا عليكم ءايٰتنا ويزكيكم ويعلمكم الكتٰب والحكمة ويعلمكم ما لم تكونوا تعلمون
2,152,سورة البقرة,فاذكروني اذكركم واشكروا لي ولا تكفرون
2,153,سورة البقرة,يٰايها الذين ءامنوا استعينوا بالصبر والصلوٰة ان الله مع الصٰبرين
2,154,سورة البقرة,ولا تقولوا لمن يقتل في سبيل الله اموٰت بل احياء ولٰكن لا تشعرون
2,155,سورة البقرة,ولنبلونكم بشيء من الخوف والجوع ونقص من الاموٰل والانفس والثمرٰت وبشر الصٰبرين
2,156,سورة البقرة,الذين اذا اصٰبتهم مصيبة قالوا انا لله وانا اليه رٰجعون
2,157,سورة البقرة,اولٰئك عليهم صلوٰت من ربهم ورحمة واولٰئك هم المهتدون
2,158,سورة البقرة,ان الصفا والمروة من شعائر الله فمن حج البيت او اعتمر فلا جناح عليه ان يطوف بهما ومن تطوع خيرا فان الله شاكر عليم
2,159,سورة البقرة,ان الذين يكتمون ما انزلنا من البينٰت والهدىٰ من بعد ما بينٰه للناس في الكتٰب اولٰئك يلعنهم الله ويلعنهم اللٰعنون
2,160,سورة البقرة,الا الذين تابوا واصلحوا وبينوا فاولٰئك اتوب عليهم وانا التواب الرحيم
2,161,سورة البقرة,ان الذين كفروا وماتوا وهم كفار اولٰئك عليهم لعنة الله والملٰئكة والناس اجمعين
2,162,سورة البقرة,خٰلدين فيها لا يخفف عنهم العذاب ولا هم ينظرون
2,163,سورة البقرة,والٰهكم الٰه وٰحد لا الٰه الا هو الرحمٰن الرحيم
2,164,سورة البقرة,ان في خلق السمٰوٰت والارض واختلٰف اليل والنهار والفلك التي تجري في البحر بما ينفع الناس وما انزل الله من السماء من ماء فاحيا به الارض بعد موتها وبث فيها من كل دابة وتصريف الريٰح والسحاب المسخر بين السماء والارض لايٰت لقوم يعقلون
2,165,سورة البقرة,ومن الناس من يتخذ من دون الله اندادا يحبونهم كحب الله والذين ءامنوا اشد حبا لله ولو يرى الذين ظلموا اذ يرون العذاب ان القوة لله جميعا وان الله شديد العذاب
2,166,سورة البقرة,اذ تبرا الذين اتبعوا من الذين اتبعوا وراوا العذاب وتقطعت بهم الاسباب
2,167,سورة البقرة,وقال الذين اتبعوا لو ان لنا كرة فنتبرا منهم كما تبرءوا منا كذٰلك يريهم الله اعمٰلهم حسرٰت عليهم وما هم بخٰرجين من النار
2,168,سورة البقرة,يٰايها الناس كلوا مما في الارض حلٰلا طيبا ولا تتبعوا خطوٰت الشيطٰن انه لكم عدو مبين
2,169,سورة البقرة,انما يامركم بالسوء والفحشاء وان تقولوا على الله ما لا تعلمون
2,170,سورة البقرة,واذا قيل لهم اتبعوا ما انزل الله قالوا بل نتبع ما الفينا عليه ءاباءنا اولو كان ءاباؤهم لا يعقلون شيا ولا يهتدون
